Postal Code|Place Name|Province|Latitude|Longitude
T0A|Eastern Alberta (St. Paul)|Alberta|53.9225|-111.0585
T0B|Wainwright Region (Tofield)|Alberta|53.0635|-112.3067
T0C|Central Alberta (Stettler)|Alberta|51.9565|-110.0761
T0E|Western Alberta (Jasper)|Alberta|53.8486|-114.4361
T0G|North Central Alberta (Slave Lake)|Alberta|54.2653|-115.3827
T0H|Northwestern Alberta (High Level)|Alberta|56.6598|-117.2896
T0J|Southeastern Alberta (Drumheller)|Alberta|49.8442|-110.78
T0K|International Border Region (Cardston)|Alberta|49.7318|-112.6171
T0L|Kananaskis Country (Claresholm)|Alberta|49.8736|-113.5074
T0M|Central Foothills (Sundre)|Alberta|52.0306|-113.9565
T0P|Northeastern Alberta (Fort Chipewyan)|Alberta|58.759|-111.0874
T0V|Remote Northeast (Fitzgerald)|Alberta|59.8685|-111.6329
T1A|Medicine Hat Central|Alberta|50.0365|-110.661
T1B|Medicine Hat South|Alberta|50.0172|-110.651
T1C|Medicine Hat North|Alberta|50.0556|-110.6822
T1G|Taber|Alberta|49.7773|-112.158
T1H|Lethbridge North|Alberta|49.7118|-112.8196
T1J|Lethbridge West and Central|Alberta|49.6915|-112.8294
T1K|Lethbridge Southeast|Alberta|49.6765|-112.8035
T1L|Banff|Alberta|51.1791|-115.5697
T1M|Coaldale|Alberta|49.7285|-112.6146
T1P|Strathmore|Alberta|51.0459|-113.3967
T1R|Brooks|Alberta|50.5659|-111.8896
T1S|Okotoks|Alberta|50.7064|-113.9554
T1V|High River|Alberta|50.5775|-113.8747
T1W|Canmore|Alberta|51.0868|-115.3384
T1X|Chestermere|Alberta|51.0512|-113.8155
T1Y|Calgary (Rundle / Whitehorn / Monterey Park)|Alberta|51.0759|-114.0015
T2A|Calgary (Penbrooke Meadows / Marlborough)|Alberta|51.0402|-113.9844
T2B|Calgary (Forest Lawn / Dover / Erin Woods)|Alberta|51.0318|-113.9786
T2C|Calgary (Lynnwood Ridge / Ogden / Foothills Industrial / Great Plains)|Alberta|50.9878|-114.0001
